Id,Prediction
0,4139574.996
1,3444978.562
2,2967391.006
3,2790889.394
4,3102826.289
5,4323043.483
6,3971681.855
7,2924144.1
8,4566128.98
9,3738505.573
10,4499889.939
11,4610658.714
12,4269296.592
13,4201030.353
14,3839616.996
15,4461666.498
16,4451773.132
17,3306653.002
18,4689128.363
19,2911324.745
20,2141051.026
21,4940121.204
22,4231760.929
23,5084747.813
24,4670924.959
25,3677714.524
26,3506487.311
27,4672990.746
28,2889161.996
29,4018435.32
30,3891639.775
31,2599896.251
32,3208282.001
33,4524455.798
34,2532675.394
35,4009612.198
36,3638893.743
37,4117717.097
38,3218104.537
39,3589126.241
40,4602983.952
41,4456786.258
42,4620581.262
43,5005617.953
44,4939798.379
45,3685980.182
46,2901800.345
47,2316757.699
48,4671558.081
49,4002277.652
50,4535896.767
51,2895813.832
52,4787877.948
53,2691208.68
54,3370545.726
55,4180700.217
56,5167890.29
57,3474979.945
58,4239687.479
59,4921391.424
60,2628452.567
61,3492193.634
62,3720331.552
63,4050571.415
64,4610503.224
65,5703857.067
66,4760538.663
67,5440230.96
68,4838743.003
69,4327365.517
70,3965155.345
71,2576407.518
72,4487226.181
73,3967195.831
74,4943541.068
75,4096352.55
76,4291149.918
77,3754540.269
78,4780254.109
79,4488618.584
80,4721111.686
81,4848764.867
82,3537150.953
83,4723105.183
84,5364418.41
85,2000279.049
86,4511660.496
87,4599935.762
88,4166324.816
89,3119258.736
90,4643110.909
91,4109643.689
92,3623595.92
93,3144890.593
94,5001443.139
95,2942151.469
96,4149214.395
97,4532705.013
98,3473950.6
99,4686931.707
100,3927835.108
101,2605004.149
102,3570044.795
103,3333408.622
104,3620838.14
105,3173624.342
106,4387816.332
107,4717033.36
108,4651902.381
109,4906376.027
110,5144974.278
111,3492002.745
112,5128392.961
113,4386384.589
114,3975416.417
115,5134123.938
116,2968904.947
117,4799071.504
118,4064009.954
119,4570283.357
120,4821393.603
121,4604907.84
122,4107258.128
123,5352439.316
124,2645108.542
125,3693521.771
126,4212966.706
127,3956617.425
128,3474577.378
129,4599838.83
130,2522617.431
131,4185926.987
132,4675340.607
133,3160254.298
134,4099975.279
135,3579793.218
136,3843729.168
137,3920837.04
138,3568316.365
139,4514855.736
140,4758583.222
141,2416072.279
142,4289739.679
143,2826267.822
144,4694704.945
145,3497409.527
146,4498820.302
147,3393049.094
148,4456209.033
149,4945748.141
150,3750405.5
151,2739334.199
152,4771659.037
153,4987583.143
154,3320787.549
155,5087367.634
156,4536244.51
157,4821230.526
158,3207226.575
159,4055956.423
160,2807809.799
161,3714602.73
162,3534805.238
163,6069979.606
164,4694953.148
165,3054833.76
166,3905509.239
167,3207627.277
168,4057105.604
169,4812157.903
170,4108303.987
171,3086936.137
172,3209428.232
173,4411599.032
174,4686276.6
175,2489696.722
176,5190087.921
177,4472085.572
178,3678379.102
179,3193929.014
180,4081984.777
181,4489198.012
182,4872937.126
183,3862216.025
184,4524259.064
185,3558569.516
186,3807191.405
187,5653873.568
188,4897004.761
189,4560586.352
190,4049382.921
191,4986409
192,4898889.914
193,3020003.883
194,4500737.249
195,4769779.856
196,3767630.125
197,2484013.266
198,3379610.424
199,4311160.991
200,4075849.522
201,2947214.603
202,4417892.878
203,4922849.424
204,4712938.322
205,4852931.81
206,4815956.696
207,4128766.492
208,4569806.623
209,3942855.916
210,4729594.974
211,4237220.544
212,2661516.505
213,2894460.313
214,5548193.727
215,2057984.088
216,4574887.012
217,4680617.382
218,4411407.248
219,2658778.349
220,5293898.917
221,4290380.456
222,5114887.354
223,4021529.511
224,4647528.098
225,3944080.283
226,2573770.368
227,4931586.355
228,3161112.927
229,4036985.634
230,4821675.02
